sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
183,ADA-P1-19-03,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Predict,Generate One Ray per Screen Column — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,Predict the exact behavior if the implementation encounters this problem: Integer division collapsing camera coordinates or an off-by-one at the final column.,"Left, center, and right columns generate expected ray directions."
184,ADA-P1-19-04,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Implement,Generate One Ray per Screen Column — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,Implement the core milestone in the existing dungeon_walk crate: Convert a screen column into a camera-space X coordinate and a world-space ray direction.,"Left, center, and right columns generate expected ray directions."
185,ADA-P1-19-05,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Extend,Generate One Ray per Screen Column — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,Extend the completed milestone with this practical variation: Visualize ray directions in a diagnostic top-down mode.,"Left, center, and right columns generate expected ray directions."
186,ADA-P1-19-06,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Test,Generate One Ray per Screen Column — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Convert a screen column into a camera-space X coordinate and a world-space ray direction.,"Left, center, and right columns generate expected ray directions."
187,ADA-P1-19-07,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Repair,Generate One Ray per Screen Column — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,Reproduce and repair this defect class in the current project: Integer division collapsing camera coordinates or an off-by-one at the final column.,"Left, center, and right columns generate expected ray directions."
188,ADA-P1-19-08,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Refactor,Generate One Ray per Screen Column — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,"Refactor the chapter implementation so Interpolation, coordinate transforms, and functions over ranges is clearer without changing behavior.","Left, center, and right columns generate expected ray directions."
189,ADA-P1-19-09,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Integrate,Generate One Ray per Screen Column — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,Integrate this chapter into the running final product so it works with earlier milestones: Convert a screen column into a camera-space X coordinate and a world-space ray direction.,"Left, center, and right columns generate expected ray directions."
190,ADA-P1-19-10,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Review,Generate One Ray per Screen Column — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,Perform a senior-style checkpoint review of Generate One Ray per Screen Column in Dungeon Walk.,"Left, center, and right columns generate expected ray directions."
191,ADA-P1-20-01,Project 1 — Dungeon Walk,Find Walls with DDA,Question,Find Walls with DDA — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,"Answer one focused question before editing code: How should Algorithmic loops, step selection, and termination be used to accomplish this milestone: Implement grid-based digital differential analysis to find the first wall hit by each ray.",Known rays hit known cells at expected distances and always terminate.
192,ADA-P1-20-02,Project 1 — Dungeon Walk,Find Walls with DDA,Code Reading,Find Walls with DDA — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,"Read the current implementation around src/raycast.ads, src/raycast.adb, tests/raycast_tests.adb. Trace how data enters, changes, and leaves the code for this milestone: Implement grid-based digital differential analysis to find the first wall hit by each ray.",Known rays hit known cells at expected distances and always terminate.
193,ADA-P1-20-03,Project 1 — Dungeon Walk,Find Walls with DDA,Predict,Find Walls with DDA — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,"Predict the exact behavior if the implementation encounters this problem: Division by zero, stepping outside the map, or fisheye distortion from the wrong distance.",Known rays hit known cells at expected distances and always terminate.
194,ADA-P1-20-04,Project 1 — Dungeon Walk,Find Walls with DDA,Implement,Find Walls with DDA — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,Implement the core milestone in the existing dungeon_walk crate: Implement grid-based digital differential analysis to find the first wall hit by each ray.,Known rays hit known cells at expected distances and always terminate.
195,ADA-P1-20-05,Project 1 — Dungeon Walk,Find Walls with DDA,Extend,Find Walls with DDA — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,"Extend the completed milestone with this practical variation: Return hit side, map cell, distance, and texture coordinate information.",Known rays hit known cells at expected distances and always terminate.
196,ADA-P1-20-06,Project 1 — Dungeon Walk,Find Walls with DDA,Test,Find Walls with DDA — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Implement grid-based digital differential analysis to find the first wall hit by each ray.,Known rays hit known cells at expected distances and always terminate.
197,ADA-P1-20-07,Project 1 — Dungeon Walk,Find Walls with DDA,Repair,Find Walls with DDA — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,"Reproduce and repair this defect class in the current project: Division by zero, stepping outside the map, or fisheye distortion from the wrong distance.",Known rays hit known cells at expected distances and always terminate.
198,ADA-P1-20-08,Project 1 — Dungeon Walk,Find Walls with DDA,Refactor,Find Walls with DDA — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,"Refactor the chapter implementation so Algorithmic loops, step selection, and termination is clearer without changing behavior.",Known rays hit known cells at expected distances and always terminate.
199,ADA-P1-20-09,Project 1 — Dungeon Walk,Find Walls with DDA,Integrate,Find Walls with DDA — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,Integrate this chapter into the running final product so it works with earlier milestones: Implement grid-based digital differential analysis to find the first wall hit by each ray.,Known rays hit known cells at expected distances and always terminate.
200,ADA-P1-20-10,Project 1 — Dungeon Walk,Find Walls with DDA,Review,Find Walls with DDA — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb; tests/raycast_tests.adb,Perform a senior-style checkpoint review of Find Walls with DDA in Dungeon Walk.,Known rays hit known cells at expected distances and always terminate.
201,ADA-P1-21-01,Project 1 — Dungeon Walk,Render the Pseudo-3D View,Question,Render the Pseudo-3D View — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/renderer.ads; src/renderer.adb; src/frame_buffer.ads,"Answer one focused question before editing code: How should Formatting, nested loops, buffers, and separation of model/view be used to accomplish this milestone: Convert ray distances into wall heights and render a buffered ASCII or ANSI frame with ceiling, walls, and floor.",A static test scene renders repeatably and movement changes perspective correctly.
202,ADA-P1-21-02,Project 1 — Dungeon Walk,Render the Pseudo-3D View,Code Reading,Render the Pseudo-3D View — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/renderer.ads; src/renderer.adb; src/frame_buffer.ads,"Read the current implementation around src/renderer.ads, src/renderer.adb, src/frame_buffer.ads. Trace how data enters, changes, and leaves the code for this milestone: Convert ray distances into wall heights and render a buffered ASCII or ANSI frame with ceiling, walls, and floor.",A static test scene renders repeatably and movement changes perspective correctly.
203,ADA-P1-21-03,Project 1 — Dungeon Walk,Render the Pseudo-3D View,Predict,Render the Pseudo-3D View — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/renderer.ads; src/renderer.adb; src/frame_buffer.ads,Predict the exact behavior if the implementation encounters this problem: Printing one character at a time too slowly or embedding game rules in the renderer.,A static test scene renders repeatably and movement changes perspective correctly.
204,ADA-P1-21-04,Project 1 — Dungeon Walk,Render the Pseudo-3D View,Implement,Render the Pseudo-3D View — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/renderer.ads; src/renderer.adb; src/frame_buffer.ads,"Implement the core milestone in the existing dungeon_walk crate: Convert ray distances into wall heights and render a buffered ASCII or ANSI frame with ceiling, walls, and floor.",A static test scene renders repeatably and movement changes perspective correctly.
205,ADA-P1-21-05,Project 1 — Dungeon Walk,Render the Pseudo-3D View,Extend,Render the Pseudo-3D View — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/renderer.ads; src/renderer.adb; src/frame_buffer.ads,Extend the completed milestone with this practical variation: Add distance shading and side shading without changing ray logic.,A static test scene renders repeatably and movement changes perspective correctly.
206,ADA-P1-21-06,Project 1 — Dungeon Walk,Render the Pseudo-3D View,Test,Render the Pseudo-3D View — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/renderer.ads; src/renderer.adb; src/frame_buffer.ads,"Create automated or repeatable tests that prove the milestone and its boundaries: Convert ray distances into wall heights and render a buffered ASCII or ANSI frame with ceiling, walls, and floor.",A static test scene renders repeatably and movement changes perspective correctly.
